graph_label,nodes,components,sequential_mean_time_s,parallel_4_processes_mean_time_s,parallel_4_processes_speedup,parallel_8_processes_mean_time_s,parallel_8_processes_speedup,parallel_12_processes_mean_time_s,parallel_12_processes_speedup,parallel_16_processes_mean_time_s,parallel_16_processes_speedup,distributed_2_workers_mean_time_s,distributed_2_workers_speedup,distributed_3_workers_mean_time_s,distributed_3_workers_speedup,distributed_5_workers_mean_time_s,distributed_5_workers_speedup,distributed_10_workers_mean_time_s,distributed_10_workers_speedup
few parts tiny & medium,50,5,0.000811215087166046,4.1000000071815316e-05,19.78573379866164,3.953866650893663e-05,20.51700673776373,4.2739555647131054e-05,18.980428665745844,3.956844442654983e-05,20.50156630928187,0.0018643444489700616,0.4351208209481856,0.0033373568800157552,0.24307112374575185,0.00361537129812253,0.22437946763235955,0.003608564759294192,0.22480269616242485
few parts tiny & dense,50,5,0.0007545894511827101,5.127111113526755e-05,14.717634053061417,5.200355530380168e-05,14.5103435096782,5.2794221782177275e-05,14.293031049800431,4.83439999556544e-05,15.608750866185865,0.003588517684256658,0.2102788721073334,0.004905995413381687,0.15380965280246237,0.005030178248740008,0.15001246752472927,0.005022617323880291,0.15023829261189697
few parts tiny & grid,50,5,0.0005619840998557871,4.93466664920561e-05,11.388491661260566,2.8819998745651296e-05,19.499796124751253,3.0160000217923274e-05,18.633424926894236,2.8973333610338158e-05,19.396597830746753,0.0009596194664482028,0.5856322422635236,0.0014625328002390839,0.3842540145177723,0.0013968103332445026,0.4023338648636811,0.001417446201473164,0.39647649362050724
few parts small & sparse,500,5,0.00012764400342601018,0.00032790355584842875,0.3892730077163688,0.00031582311125627407,0.40416295982352507,0.0003188222224060963,0.4003610616057529,0.0003201813332917583,0.3986616025166506,0.0012959974311201627,0.09849093860910225,0.0017287272088914404,0.07383698409413182,0.0017402171687313562,0.07334946793971957,0.0017596936895279214,0.0725376263980657
few parts small & medium,500,5,0.00017343407554512347,0.000494395555385078,0.3508002320329074,0.0004848248887638975,0.3577251901966264,0.000521467111118707,0.33258871335730866,0.0004918151111531996,0.3526408026350761,0.0014777928128670383,0.11736021046728956,0.0018891502889103625,0.09180533521510245,0.00187993168892313,0.09225552001012903,0.001890761999335761,0.09172707913849135
few parts small & dense,500,5,0.0002318525883363994,0.00072205111099821,0.3211027374722427,0.0007409706668113358,0.3129038688321425,0.0007424137776575259,0.3122956433647337,0.0007617475555404477,0.30436932373469017,0.0016504980401562837,0.1404743190815577,0.002099358857784763,0.11043971233248305,0.002031589288865992,0.11412375011379225,0.0020497952941675775,0.11311011835967494
few parts small & grid,500,5,0.00012347346634366356,0.0003249933331971988,0.37992615149659875,0.0002946133337294062,0.41910345597959375,0.000312073333770968,0.3956552931058226,0.0003142533332720632,0.39291060195936583,0.0013219491990942819,0.09340258039284714,0.001990328666821976,0.062036722076066836,0.001711147266420691,0.07215829330805663,0.0017070025981714327,0.07233349643165758
few parts medium & sparse,5000,5.066666666666666,0.0013886604933082303,0.0037167955556651577,0.3736176694442145,0.003897881777536693,0.35626029021993805,0.0036691724448852862,0.378466947020705,0.0042354751110926575,0.32786416089929216,0.006159185146615427,0.2254617226551993,0.006460495706689673,0.21494643079327627,0.005638961021937171,0.24626176487227766,0.005705725960110107,0.24338015933759155
few parts medium & medium,5000,5,0.0021156850162563183,0.005110405333463051,0.41399554011944306,0.005042207555185693,0.41959498753287683,0.005121322221691824,0.41311304477096616,0.005505148444444785,0.3843102574992768,0.00836726459516083,0.25285264881905556,0.008686680115523713,0.2435550737588966,0.00790896866234511,0.2675045390341692,0.007949207417421146,0.2661504355289148
few parts medium & dense,5000,5,0.002848786514367829,0.006927200000241606,0.411246465277236,0.00654672222211957,0.43514699688075426,0.006461301777906354,0.4408997772103623,0.006897151555553541,0.4130381203634716,0.01075600121335204,0.2648555404429917,0.011130624528842519,0.2559413002375417,0.010154630777962867,0.2805406298523566,0.010022599217417235,0.28423629964343167
